Fill,col1,row1,col2,row2,img_name,img_w,img_h
100,227,733,251,261,1764196916459_Cam2_Timeout_0.00.jpg,1000,1000
85.45,293,724,317,292,1764196916459_Cam2_Timeout_0.00.jpg,1000,1000
80.91,312,719,337,301,1764196916459_Cam2_Timeout_0.00.jpg,1000,1000
68.18,373,708,395,327,1764196916459_Cam2_Timeout_0.00.jpg,1000,1000
62.73,388,705,413,334,1764196916459_Cam2_Timeout_0.00.jpg,1000,1000
43.64,429,698,449,353,1764196916459_Cam2_Timeout_0.00.jpg,1000,1000
30.19,456,690,475,363,1764196916459_Cam2_Timeout_0.00.jpg,1000,1000
24.55,490,685,509,378,1764196916459_Cam2_Timeout_0.00.jpg,1000,1000
11.82,508,682,527,389,1764196916459_Cam2_Timeout_0.00.jpg,1000,1000
7.72,546,677,563,401,1764196916459_Cam2_Timeout_0.00.jpg,1000,1000
0,593,414,578,675,1764196916459_Cam2_Timeout_0.00.jpg,1000,1000
