Fill,col1,col2,row1,row2,img_name,img_w,img_h
100,791,1159,773,439,Image_2026_3_20_6_3_37_crop_1.jpg,1368,1368
95,728,449,738,1149,Image_2026_3_20_6_3_37_crop_1.jpg,1368,1368
90,676,457,688,1147,Image_2026_3_20_6_3_37_crop_1.jpg,1368,1368
85,626,483,642,1145,Image_2026_3_20_6_3_37_crop_1.jpg,1368,1368
80,574,495,594,1147,Image_2026_3_20_6_3_37_crop_1.jpg,1368,1368
75,532,499,544,1137,Image_2026_3_20_6_3_37_crop_1.jpg,1368,1368
70,506,1133,482,513,Image_2026_3_20_6_3_37_crop_1.jpg,1368,1368
65,438,1141,416,538,Image_2026_3_20_6_3_37_crop_1.jpg,1368,1368
60,343,557,365,1135,Image_2026_3_20_6_3_37_crop_1.jpg,1368,1368
55,305,1121,287,568,Image_2026_3_20_6_3_37_crop_1.jpg,1368,1368
50,249,1123,229,580,Image_2026_3_20_6_3_37_crop_1.jpg,1368,1368
45,189,593,197,1125,Image_2026_3_20_6_3_37_crop_1.jpg,1368,1368
